geneid	genesymbol	count
677793	ACA2A	2
109623473	SNORD152	1
100616477	MIR4442	1
100616477	MIR-4442	2
100500884	MIR3681	1
102464833	MIR6084	1
102464833	HSA-MIR-6084	2
100422848	MIR4283-2	1
100422990	MIR3134	1
100847012	MIR5004	1
100847012	MIR-5004	2
100033458	SNORD115-19	1
100033458	HBII-52-19	2
102466190	MIR6721	1
102466190	HSA-MIR-6721	2
102466190	MIR-6721	3
102465460	MIR6768	1
102465460	HSA-MIR-6768	2
102465483	MIR6805	1
102465483	HSA-MIR-6805	2
100616398	MIR4681	1
100033442	SNORD115-5	1
100033442	HBII-52-5	2
26772	SNORD4B	1
26772	RNU101B	2
26772	Z17B	3
100302277	MIR548I2	1
100302277	MIR548I-2	2
100302277	MIRN548I2	3
100302277	HSA-MIR-548I-2	4
100302277	MIR-548I-2	5
767609	SNORD114-28	1
767609	14Q(II-28)	2
100616371	MIR4746	1
100616371	MIR-4746	2
100616196	MIR4525	1
100500841	MIR3678	1
100500841	MIR-3678	2
100616397	MIR4440	1
100616397	MIR-4440	2
692073	SNORA16A	1
692073	ACA16	2
100302243	MIR1972-1	1
100302243	MIR1972	2
100302243	HSA-MIR-1972	3
100302243	HSA-MIR-1972-1	4
100302260	MIR2052	1
100302260	HSA-MIR-2052	2
9299	SNORD30	1
9299	RNU30	2
9299	U30	3
102466815	MIR7155	1
102466815	HSA-MIR-7155	2
26814	SNORD36B	1
26814	RNU36B	2
26814	U36B	3
100616408	MIR5047	1
26843	SNORD3P3	1
26843	RNU3P3	2
26843	U3	3
26843	U3.5	4
26843	U3.7	5
100422934	MIR3143	1
100422934	MIR-3143	2
693191	MIR606	1
693191	MIRN606	2
693191	HSA-MIR-606	3
100847049	MIR4999	1
100847049	MIR-4999	2
100500869	MIR3672	1
100616136	MIR4430	1
106635530	SNORA98	1
100500863	MIR548AA1	1
692195	SNORD75	1
692195	U75	2
100616332	MIR4716	1
100616332	MIR-4716	2
767580	SNORD114-4	1
767580	14Q(II-4)	2
